m,q,T,c,eta_opt,kappa_opt,R_bar,info_proc_cap
2,0.75,2.0,0.0025,11.359398684454042,2.2416684110218665,0.9913143337957017,0.9913143337957017
2,0.75,3.0,0.0025,11.333567331298326,1.9404671003516016,0.9923184636778654,0.9923184636778654
2,0.75,3.0,0.0025,11.253832533473272,2.017030902546312,0.992318987465166,0.992318987465166
2,1.0,2.0,0.0025,10.315205635937176,2.494463000601171,0.9911009273108431,0.9911009273108431
2,1.0,3.0,0.0025,10.16067662676538,2.1874309333301367,0.9919686546338755,0.9919686546338755
2,1.0,3.0,0.0025,10.189856979008749,2.181758112950471,0.9920400647359736,0.9920400647359736
4,1.0,2.0,0.0025,17.156816055636206,3.4895500912927457,0.9850799249632449,1.9701598499264898
4,1.0,3.0,0.0025,16.878149322109476,3.059957083591696,0.9858951770438893,1.9717903540877786
2,0.75,2.0,0.005,9.884187512512943,1.9008589565710494,0.9847262952525582,0.9847262952525582
2,0.75,3.0,0.005,9.72698902324581,1.663807621461282,0.985539356464486,0.985539356464486
2,0.75,3.0,0.005,9.71751927070537,1.6466029099500403,0.9854088194959211,0.9854088194959211
2,1.0,2.0,0.005,8.934708008078674,2.0944709874981076,0.9846795379210722,0.9846795379210722
2,1.0,3.0,0.005,8.686758999655867,1.904295895556931,0.9855529990505915,0.9855529990505915
2,1.0,3.0,0.005,8.810667621590055,1.8329013993805918,0.9858513719307633,0.9858513719307633
4,0.75,2.0,0.005,15.831721344324183,2.857934990761869,0.9726367430387243,1.9452734860774485
4,0.75,3.0,0.005,15.974571660380104,2.581869594568996,0.9756068301149062,1.9512136602298125
4,1.0,2.0,0.005,14.124714719623375,2.9918795383442145,0.9723724761631818,1.9447449523263636
4,1.0,3.0,0.005,14.023163922949182,2.695759936592962,0.9740493829695501,1.9480987659391003
2,0.75,2.0,0.0075,8.996822318938595,1.6536344621510246,0.9776869180018873,0.9776869180018873
2,0.75,3.0,0.0075,8.896301074984812,1.5242151111966304,0.9794783543706835,0.9794783543706835
2,0.75,3.0,0.0075,8.942854705296474,1.5167984404665178,0.9797654162090819,0.9797654162090819
2,1.0,3.0,0.0075,7.987859170558533,1.6860892775949712,0.9799049985586488,0.9799049985586488
2,1.0,3.0,0.0075,7.955875435539201,1.722937159469765,0.9799073673728261,0.9799073673728261
4,0.75,2.0,0.0075,14.208917893972131,2.7089582120025923,0.9617950076867935,1.923590015373587
4,1.0,2.0,0.0075,12.406858389267137,2.7241798496261334,0.959903137238472,1.919806274476944
2,0.75,2.0,0.01,8.333868386310485,1.5308802447925522,0.9707356227635173,0.9707356227635173
2,0.75,3.0,0.01,8.27201733450815,1.3725396972081174,0.9726684371666516,0.9726684371666516
2,0.75,3.0,0.01,8.287438626035113,1.3711906174824866,0.97280917841641,0.97280917841641
2,1.0,2.0,0.01,7.474461207711571,1.6886141219941764,0.9711190445663858,0.9711190445663858
2,1.0,3.0,0.01,7.454386530742623,1.5098587858954469,0.9736863282319911,0.9736863282319911
2,1.0,3.0,0.01,7.444247272833352,1.5456305064749807,0.9740682656983167,0.9740682656983167
4,0.75,2.0,0.01,13.085293873200245,2.3330246545435163,0.9488821416239409,1.8977642832478818
4,0.75,3.0,0.01,13.003721952378282,2.1804997129647066,0.9516348395031903,1.9032696790063806
4,1.0,2.0,0.01,11.403111883727126,2.5880626262717454,0.9499169204871142,1.8998338409742284
4,1.0,3.0,0.01,11.139108345872845,2.4414554824703325,0.9508689446596402,1.9017378893192805
2,0.75,2.0,0.0125,7.905284308603752,1.496625857879093,0.9656131661537921,0.9656131661537921
2,0.75,3.0,0.0125,7.850294040704183,1.3153816335429913,0.9672618268220811,0.9672618268220811
2,0.75,3.0,0.0125,7.836401090670878,1.338674976018046,0.9673983956184646,0.9673983956184646
2,1.0,2.0,0.0125,7.062737426419372,1.6093015988846413,0.9654194190253007,0.9654194190253007
2,1.0,3.0,0.0125,6.979942783425577,1.5044207959453721,0.9684037873926179,0.9684037873926179
2,1.0,3.0,0.0125,6.978862220250556,1.4852606722890067,0.968181514338514,0.968181514338514
4,0.75,2.0,0.0125,12.101017491023551,2.3133685347954502,0.9376982162201749,1.8753964324403498
4,0.75,3.0,0.0125,12.070781680312647,2.0680290774727883,0.9399828468967425,1.879965693793485
4,1.0,2.0,0.0125,10.378503520155437,2.508675845455288,0.937527794580762,1.875055589161524
4,1.0,3.0,0.0125,10.549786534103296,2.288014726802949,0.9425278239777503,1.8850556479555005
2,0.75,2.0,0.015,7.559089229541229,1.3770254420261485,0.9593461500509471,0.9593461500509471
2,0.75,3.0,0.015,7.4331811287048195,1.2410060785279482,0.960544184480932,0.960544184480932
2,0.75,3.0,0.015,7.484712119709899,1.184198221399699,0.9603603339242648,0.9603603339242648
2,1.0,2.0,0.015,6.676736902037118,1.5573727905938675,0.9593935288080111,0.9593935288080111
2,1.0,3.0,0.015,6.658547732152072,1.370838801845635,0.9622032398216328,0.9622032398216328
2,1.0,3.0,0.015,6.638161049541691,1.3793788443486548,0.961961550206021,0.961961550206021
4,0.75,3.0,0.015,11.235317262980686,2.052468707760429,0.9281450461428585,1.856290092285717
